id,title,category,operator,area,price_from,duration,difficulty,short_description,image_url_primary,image_search_url,source_url,data_confidence,publish_status
exp_011,Creative Mosaic Workshop,Workshops & Local Craft,Art and Walk,Volada / Pini,€48,3–4 hours,Beginner-friendly,A hands-on mosaic workshop where guests design and create a personal artwork under local guidance.,https://i0.wp.com/artandwalk.com/wp-content/uploads/2023/02/watermarked-Mosaic-Art-workshop-Art-and-Walk-watermarked-68.jpg?resize=1280%2C934&ssl=1,https://www.google.com/search?tbm=isch&q=Art+and+Walk+Karpathos+mosaic+workshop+Pini,https://artandwalk.com/tour/creative-workshop-mosaic/,verified,ready_with_provider_confirmation
exp_012,Relaxing Massage in Pigadia,Wellness & Massage,Angel Hands Wellness & Spa,Pigadia,€50,50 minutes,Easy,"A relaxing massage for guests who want to unwind after travel, hiking, beach days, or watersports.",,https://www.google.com/search?tbm=isch&q=Angel+Hands+Wellness+Spa+Pigadia+Karpathos+massage,https://karpathostravel.com/activity-search/,needs_confirmation,ready_with_provider_confirmation
exp_013,Therapeutic Massage,Wellness & Massage,Angel Hands Wellness & Spa,Pigadia,€55,Confirm duration,Easy,"A focused massage option for guests who need recovery after travel, hiking, watersports, or long exploration days.",,https://www.google.com/search?tbm=isch&q=Angel+Hands+Wellness+Spa+Pigadia+therapeutic+massage,https://karpathostravel.com/activity-search/,needs_confirmation,ready_with_provider_confirmation
exp_014,Private-Feeling Yoga Session,Wellness & Massage,Kathy’s Island Retreat,Adia,€25,~60 minutes,Adaptable,"A calming yoga session for guests who want balance, wellness, and softness in their Karpathos holiday.",,https://www.google.com/search?tbm=isch&q=Kathy%27s+Island+Retreat+Adia+Karpathos+yoga,https://karpathostravel.com/activity-search/,needs_confirmation,ready_with_provider_confirmation
exp_015,Reflexology Wellness Session,Wellness & Massage,Kathy’s Island Retreat,Adia,€60,45 minutes,Easy,"A reflexology session for guests who want a calm, restorative treatment during their stay.",,https://www.google.com/search?tbm=isch&q=Kathy%27s+Island+Retreat+Adia+Karpathos+reflexology,https://karpathostravel.com/activity-search/,needs_confirmation,ready_with_provider_confirmation
exp_016,Stone Massage Ritual,Wellness & Massage,Kathy’s Island Retreat,Adia,€75,55 minutes,Easy,A stone massage wellness ritual designed for guests seeking deeper relaxation and comfort.,,https://www.google.com/search?tbm=isch&q=Kathy%27s+Island+Retreat+Adia+Karpathos+stone+massage,https://karpathostravel.com/activity-search/,needs_confirmation,ready_with_provider_confirmation
exp_017,Sound Healing Therapy,Wellness & Massage,Kathy’s Island Retreat,Adia,€60,45 minutes,Easy,"A sound healing session for travelers who want a peaceful, restorative wellness experience.",,https://www.google.com/search?tbm=isch&q=Kathy%27s+Island+Retreat+Adia+Karpathos+sound+healing,https://karpathostravel.com/activity-search/,needs_confirmation,ready_with_provider_confirmation
exp_018,Full-Day Gym Access in Pigadia,Fitness & Lifestyle,Iron Forge Gym,Pigadia,€10,1 day,Self-paced,A simple day-pass gym option for guests who want to train during their holiday.,,https://www.google.com/search?tbm=isch&q=Iron+Forge+Gym+Pigadia+Karpathos,https://karpathostravel.com/activity-search/,needs_confirmation,ready_with_provider_confirmation
exp_019,Rock Climbing in Arkasa,Adventure & Watersports,Confirm climbing instructor/provider,Arkasa,Confirm,Confirm,Route-dependent,A guided rock climbing experience in the Arkasa area for adventure-focused travelers once provider details are confirmed.,,https://www.google.com/search?tbm=isch&q=Arkasa+Karpathos+rock+climbing+guide,https://karpathostravel.com/activity-search/,needs_confirmation,hold_until_confirmed
exp_020,Pigadia Trails Mountain Bike Experience,Adventure & Watersports,Meltemi Biking,Pigadia,€75,~3 hours,Advanced / technical,A mountain-bike experience around Pigadia for riders seeking active and demanding island adventure.,,https://www.google.com/search?tbm=isch&q=Meltemi+Biking+Pigadia+Trails+Karpathos+mountain+bike,https://karpathostravel.com/tour-search/,verified,ready_with_provider_confirmation
exp_021,Red Canyon Bike / E-Bike Tour,Adventure & Watersports,Meltemi Bike Shop,Pigadia,€60,~3 hours,Confirm,A bike or e-bike tour for guests who want active sightseeing and distinctive island scenery.,,https://www.google.com/search?tbm=isch&q=Red+Canyon+Bike+E-Bike+Tour+Karpathos+Meltemi,https://karpathostravel.com/tour-search/,verified,ready_with_provider_confirmation
exp_022,13 Churches Bike / E-Bike Tour,Adventure & Watersports,Meltemi Bike Shop,Pigadia,€60,~3 hours,Confirm,"A bike or e-bike experience combining movement, scenery, and local cultural landmarks.",,https://www.google.com/search?tbm=isch&q=13+Churches+Bike+E-Bike+Tour+Karpathos+Meltemi,https://karpathostravel.com/tour-search/,verified,ready_with_provider_confirmation
exp_023,Guided Sunset Village Tour,Culture & Village Tours,Karpathos Travel / local guide,Pigadia,€62,~8 hours,Easy,"A guided village tour for guests who want culture, scenery, sunset, and a slower local experience.",https://karpathostravel.com/wp-content/uploads/2026/05/karpathos-travel-tui-sunset-village-tour-2026-34.jpg,https://www.google.com/search?tbm=isch&q=Karpathos+sunset+village+tour+Mesochori+Othos+Pyles,https://karpathostravel.com/st_tour/guided-sunset-village-tour/,verified,ready_with_provider_confirmation
exp_024,Olympos Village & Diafani Day Trip,Culture & Village Tours,Boat/bus partner,Olympos / Diafani,€30,~10 hours,Easy,A day trip combining the northern village of Olympos with the coastal atmosphere of Diafani.,https://karpathostravel.com/wp-content/uploads/2026/05/karpathos-travel-tui-sunset-village-tour-2026-31-64.jpg,https://www.google.com/search?tbm=isch&q=Olympos+village+Diafani+day+trip+Karpathos,https://karpathostravel.com/tour-search/,verified,ready_with_provider_confirmation
exp_025,Saria Island Guided Tour with Transfer,Sea & Boat Trips,Karpathos Travel / boat partner,Saria,€55,~10 hours,Easy to moderate,"A guided Saria Island day experience with transfer, combining sea, scenery, and local history.",https://karpathostravel.com/wp-content/uploads/2025/07/karpathos-travel-saria-none-guided-tour-2025-suzpa-45.jpg,https://www.google.com/search?tbm=isch&q=Saria+Island+guided+tour+with+transfer+Karpathos,https://karpathostravel.com/st_tour/saria-island-guided-tour-with-transfer/,verified,ready_with_provider_confirmation
exp_026,Rock Cave Explorer by Glass-Bottom Boat,Sea & Boat Trips,Nemo / boat partner,Pigadia,€35,~2 hours,Easy,A compact glass-bottom boat trip for guests who want relaxed sea activity without spending the whole day away.,,https://www.google.com/search?tbm=isch&q=Rock+Cave+Explorer+Tour+glass+bottom+boat+Karpathos+Pigadia,https://karpathostravel.com/tour-search/,verified,ready_with_provider_confirmation
exp_027,Famous Beaches Full-Day Cruise,Sea & Boat Trips,Boat partner,Pigadia,€30,~8 hours,Easy,"A beach-focused boat excursion for guests who want to swim, relax, and see multiple coastal highlights.",,https://www.google.com/search?tbm=isch&q=The+famous+beaches+boat+cruise+Karpathos+Pigadia+Harbor,https://karpathostravel.com/tour-search/,verified,ready_with_provider_confirmation
exp_028,Saria Island Excursion,Sea & Boat Trips,Boat partner,Saria,€30,~10 hours,Easy with optional hike,A full-day boat excursion to Saria Island for guests seeking a remote Karpathos experience.,https://karpathostravel.com/wp-content/uploads/2025/07/karpathos-travel-saria-none-guided-tour-2025-suzpa-45.jpg,https://www.google.com/search?tbm=isch&q=The+island+of+Saria+Excursion+Karpathos,https://karpathostravel.com/tour-search/,verified,ready_with_provider_confirmation
exp_029,Profitis Ilias Panoramic Hike,Hiking Tours,Art and Walk,Aperi,€48,~4 hours,Moderate,A guided hike toward Profitis Ilias with panoramic views and deeper landscape context.,,https://www.google.com/search?tbm=isch&q=Profitis+Ilias+Hike+Aperi+Karpathos+Art+and+Walk,https://karpathostravel.com/tour-search/,verified,ready_with_provider_confirmation
exp_030,Mountain Villages Walk with Local Flavor,Hiking Tours,Art and Walk,Volada / Pini,€60,~3 hours,Moderate,"A guided mountain-village walk combining scenery, culture, and traditional Karpathos flavor.",,https://www.google.com/search?tbm=isch&q=Mountain+Villages+Walk+Art+and+Walk+Pini+Karpathos,https://karpathostravel.com/tour-search/,verified,ready_with_provider_confirmation
exp_031,Lastos Off-the-Beaten-Path Hike,Hiking Tours,Art and Walk,Volada / Pini,€48,~3.5 hours,Moderate,"A guided hike through the Lastos area for guests who want nature, views, and less obvious island scenery.",,https://www.google.com/search?tbm=isch&q=Lastos+Hike+Karpathos+Art+and+Walk,https://karpathostravel.com/tour-search/,verified,ready_with_provider_confirmation
exp_032,Agia Kyriaki Scenic Walk,Hiking Tours,Art and Walk,Pigadia,€36,~3.5 hours,Moderate / confirm steep sections,A guided walk with sea views and a chapel destination for a rewarding active morning.,,https://www.google.com/search?tbm=isch&q=Agia+Kyriaki+Walk+Karpathos+Art+and+Walk,https://artandwalk.com/,needs_confirmation,ready_with_provider_confirmation
exp_033,The Valley Walk of Pigadia,Hiking Tours,Art and Walk,Pigadia,€36,~3.5 hours,Easy,"An easy guided walk around the Pigadia valley, ideal for light activity and local context.",,https://www.google.com/search?tbm=isch&q=Valley+Walk+Pigadia+Karpathos+Art+and+Walk,https://artandwalk.com/tour/valley-walk/,verified,ready_with_provider_confirmation
